اسم الشركة,yesterday,predicted_delta,predicted_close,recommendation
البنك السعودي الفرنسي,19.3,0.010685709305107594,19.31068570930511,Buy
البنك العربي الوطني,18.97,-0.023903533816337585,18.94609646618366,Don’t Buy
الشركة السعودية لخدمات السيارات والمعدات,63.68,-0.27561959624290466,63.404380403757095,Don’t Buy
الشركة السعودية لصناعة الورق,40.32,0.054115138947963715,40.374115138947964,Buy
الشركة السعودية للتنمية الصناعية,33.69,0.02784506045281887,33.71784506045282,Buy
الشركة السعودية للصادرات الصناعية,2.83,-0.00021510552323888987,2.829784894476761,Don’t Buy
الشركة السعودية للصناعات المتطورة,28.65,0.0228247232735157,28.672824723273514,Buy
الشركة السعودية للطباعة والتغليف,15.56,0.0029427693225443363,15.562942769322545,Buy
الشركة السعودية للكهرباء,18.98,0.009625770151615143,18.989625770151616,Buy
الشركة السعودية للنقل الجماعي,20.74,0.029126659035682678,20.76912665903568,Buy
الشركة العقارية السعودية,15.94,0.015054585412144661,15.955054585412144,Buy
الشركة الكيميائية السعودية القابضة,4.32,0.004698542878031731,4.324698542878032,Buy
الشركة المتحدة الدولية للمواصلات,79.0,-0.0018452871590852737,78.99815471284091,Don’t Buy
الشركة المتقدمة للبتروكيماويات,39.1,-0.00874386727809906,39.0912561327219,Don’t Buy
الشركة الوطنية السعودية للنقل البحري,17.65,0.012721151113510132,17.66272115111351,Buy
الشركة الوطنية للتنمية الزراعية,27.85,0.01078016310930252,27.860780163109304,Buy
الشركة الوطنية للرعاية الطبية,174.4,-0.48745834827423096,173.91254165172577,Don’t Buy
بنك البلاد,30.3,0.03484620153903961,30.33484620153904,Buy
بنك الجزيرة,11.96,0.005785929970443249,11.965785929970444,Buy
بنك الرياض,28.5,0.03257109969854355,28.532571099698544,Buy
شركة التصنيع الوطنية,12.38,0.004302357789129019,12.38430235778913,Buy
شركة التعدين العربية السعودية,48.55,0.08541611582040787,48.635416115820405,Buy
شركة الجوف الزراعية,49.0,0.0132285812869668,49.01322858128697,Buy
شركة الحمادي القابضة,59.4,0.02391134575009346,59.42391134575009,Buy
شركة الخزف السعودي,22.05,-0.03198541700839996,22.0180145829916,Don’t Buy
شركة الخليج للتدريب والتعليم,25.7,0.05694705992937088,25.75694705992937,Buy
شركة الدريس للخدمات البترولية و النقليات,133.1,0.2097683697938919,133.3097683697939,Buy
شركة المراعي,55.8,-0.05859507620334625,55.74140492379665,Don’t Buy
شركة المشروعات السياحية,0.6,0.0006937457947060466,0.600693745794706,Buy
شركة ثمار التنمية القابضة,48.81,-0.030414393171668053,48.779585606828334,Don’t Buy
شركة جرير للتسويق,15.58,0.004914180375635624,15.584914180375636,Buy
شركة دله للخدمات الصحية,171.8,0.1474844366312027,171.9474844366312,Buy
شركة كاتريون للتموين القابضة,129.0,0.1598527431488037,129.1598527431488,Buy
مجموعة سيرا القابضة,27.0,0.033857423812150955,27.03385742381215,Buy
